time,cooler,fan
1531252330.348425,0.0,1.0
1531252391.3730204,0.0,1.0
1531252452.6615222,0.0,1.0
1531252518.760201,0.0,1.0
1531252579.7936473,0.0,1.0
1531252640.7179961,0.0,1.0
1531252701.6439307,0.0,1.0
1531252762.6704054,0.0,1.0
1531252823.600937,0.0,1.0
1531252884.6343286,0.0,1.0
1531252945.6614726,0.0,1.0
1531253006.7081199,0.0,1.0
1531253067.6217608,0.0,1.0
1531253128.6463487,0.0,1.0
1531253189.6802692,0.0,1.0
1531253250.711541,0.0,1.0
1531253311.74836,0.0,1.0
1531253372.7703154,0.0,1.0
1531253433.4975677,0.0,1.0
1531253494.5205414,0.0,1.0
1531253555.547802,0.0,1.0
1531253616.5837734,0.0,1.0
1531253677.6128109,0.0,1.0
1531253738.6374984,0.0,1.0
1531253799.3639019,0.0,0.0
1531253860.0905426,0.0,0.0
1531253921.0135207,0.0,0.0
1531253982.0422342,0.0,0.0
1531254043.075707,0.0,0.0
1531254104.1003563,0.0,0.0
1531254165.1336033,0.0,0.0
1531254226.1633039,0.0,0.0
1531254287.186111,0.0,0.0
1531254348.2255585,0.0,0.0
1531254411.711451,0.0,0.0
1531254472.739595,0.0,0.0
1531254535.728709,0.0,0.0
1531254596.6430151,0.0,0.0
1531254669.1449337,0.0,0.0
1531254730.0781446,0.0,0.0
1531254791.1000779,0.0,0.0
1531254852.0298915,0.0,0.0
1531254913.055396,0.0,0.0
1531254973.7794998,0.0,0.0
1531255034.8186677,0.0,0.0
1531255095.7367914,0.0,0.0
1531255156.763949,0.0,0.0
1531255217.6960044,0.0,0.0
1531255278.6248732,0.0,0.0
1531255339.6508546,0.0,0.0
1531255400.579835,0.0,0.0
1531255460.9980054,0.0,0.0
1531255521.9219785,0.0,0.0
1531255582.8528476,0.0,0.0
1531255643.7773285,0.0,0.0
1531255704.705392,0.0,0.0
1531255765.7347026,0.0,0.0
1531255826.6609895,0.0,0.0
1531255887.5929086,0.0,0.0
1531255948.6179163,0.0,0.0
1531256009.6515038,0.0,0.0
1531256082.1499937,0.0,0.0
1531256143.1791267,0.0,0.0
1531256204.2070775,0.0,0.0
1531256265.3468685,0.0,0.0
1531256326.271655,0.0,0.0
1531256387.304895,0.0,0.0
1531256448.2330785,0.0,0.0
1531256509.2573974,0.0,0.0
1531256570.1861556,0.0,0.0
1531256631.213725,0.0,0.0
1531256692.5006235,0.0,0.0
1531256753.3740642,0.0,0.0
1531256814.0964172,0.0,0.0
1531256874.8213544,0.0,0.0
